Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Tag,Year
7,228,ATL,Sterling Hofrichter,P,23,2021,0,0,0,1,1,18,HofrSt00,2020
7,229,WAS,James Smith-Williams,DE,23,2023,0,0,1,13,13,55,SmitJa08,2020
7,230,NWE,Dustin Woodard,C,22,,0,0,0,0,0,,WoodDu01,2020
7,231,DAL,Ben DiNucci,QB,23,2020,0,0,0,1,1,3,DiNuBe00,2020
7,232,PIT,Carlos Davis,DT,24,2022,0,0,0,1,1,12,DaviCa03,2020
7,233,PHI,Casey Toohill,DE,24,2023,0,0,0,9,0,57,ToohCa00,2020
7,234,LAR,Clay Johnston,LB,24,2022,0,0,0,2,0,31,JohnCl00,2020
7,235,DET,Jashon Cornell,DT,23,2021,0,0,0,0,0,1,CornJa01,2020
7,236,GNB,Vernon Scott,S,22,2021,0,0,0,1,1,18,ScotVe00,2020
7,237,KAN,Thakarius Keyes,CB,22,2021,0,0,0,1,1,13,KeyeTh00,2020
7,238,NYG,T.J. Brunson,LB,22,2020,0,0,0,0,0,5,BrunTJ00,2020
7,239,BUF,Dane Jackson,CB,23,2023,0,0,1,12,12,52,JackDa02,2020
7,240,NOR,Tommy Stevens,QB,23,2020,0,0,0,0,0,1,StevTo01,2020
7,241,TAM,Chapelle Russell,LB,23,2021,0,0,0,2,1,27,RussCh00,2020
7,242,GNB,Jonathan Garvin,DE,21,2022,0,0,0,3,3,38,GarvJo00,2020
7,243,TEN,Chris Jackson,S,22,2022,0,0,0,2,2,24,JackCh01,2020
7,244,MIN,Nate Stanley,QB,23,,0,0,0,0,0,,StanNa00,2020
7,245,TAM,Raymond Calais,RB,22,2020,0,0,0,0,0,4,CalaRa00,2020
7,246,MIA,Malcolm Perry,RB,23,2020,0,0,0,1,1,9,PerrMa00,2020
7,247,NYG,Chris Williamson,CB,23,2021,0,0,0,0,0,5,WillCh07,2020
7,248,LAR,Sam Sloman,K,22,2020,0,0,0,0,0,8,SlomSa00,2020
7,249,MIN,Brian Cole II,S,23,,0,0,0,0,0,,ColeBr01,2020
7,250,LAR,Tremayne Anchrum,G,22,2023,0,0,0,2,2,31,AnchTr00,2020
7,251,SEA,Stephen Sullivan,TE,23,2023,0,0,0,1,0,29,SullSt00,2020
7,252,DEN,Tyrie Cleveland,WR,22,2022,0,0,0,0,0,23,ClevTy00,2020
7,253,MIN,Kyle Hinton,G,22,2023,0,0,0,1,0,18,HintKy00,2020
7,254,DEN,Derrek Tuszka,LB,24,2022,0,0,0,3,1,39,TuszDe00,2020
7,255,NYG,Tae Crowder,LB,23,2023,0,0,2,16,16,43,CrowTa00,2020
